step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_stopped;step_teleports;step_time;step_waiting
13;0;285460498;13;14;39;39;9.53;0.34;39.08;17.72;26;0;0;60.00;0
14;0;285460530;14;13;39;39;9.14;0.33;40.43;17.72;25;0;0;61.00;0
15;0;285460560;15;14;40;40;8.22;0.30;40.60;17.30;25;0;0;62.00;0
16;0;285460592;16;13;40;40;7.69;0.28;41.31;17.30;24;0;0;63.00;0
16;0;285460621;16;9;40;40;8.05;0.29;41.31;17.30;24;0;0;64.00;0
17;0;285460653;17;5;40;40;7.86;0.29;42.41;17.30;23;0;0;65.00;0
18;0;285460685;18;2;40;40;8.11;0.30;42.44;17.30;22;0;0;66.00;0
18;0;285460716;18;1;40;40;8.63;0.32;42.44;17.30;22;0;0;67.00;0
20;0;285460747;20;0;40;40;8.01;0.29;42.85;17.30;20;0;0;68.00;0
20;0;285460778;20;0;40;40;8.42;0.31;42.85;17.30;20;0;0;69.00;0
21;0;285460809;21;0;40;40;8.14;0.30;43.29;17.30;19;0;0;70.00;0
21;0;285460839;21;0;40;40;8.63;0.32;43.29;17.30;19;0;0;71.00;0
21;0;285460870;21;0;40;40;9.03;0.34;43.29;17.30;19;0;0;72.00;0
22;0;285460901;22;0;40;40;8.06;0.31;43.91;17.30;18;0;0;73.00;0
22;0;285460933;22;0;40;40;8.39;0.32;43.91;17.30;18;0;0;74.00;0
22;0;285460964;22;0;40;40;8.43;0.32;43.91;17.30;18;0;0;75.00;0
22;0;285460995;22;0;40;40;9.01;0.35;43.91;17.30;18;0;0;76.00;0
22;0;285461026;22;0;40;40;9.20;0.36;43.91;17.30;18;0;0;77.00;0
22;0;285461056;22;0;40;40;9.27;0.36;43.91;17.30;18;0;0;78.00;0
23;0;285461086;23;0;40;40;8.61;0.33;43.91;17.30;17;0;0;79.00;0
23;0;285461116;23;1;40;40;9.09;0.36;43.91;17.30;17;0;0;80.00;0
24;0;285461147;24;1;40;40;9.47;0.37;44.58;17.30;16;0;0;81.00;0
24;0;285461178;24;2;41;41;9.39;0.36;44.58;16.90;17;0;0;82.00;0
25;0;285461209;25;1;41;41;9.54;0.36;45.44;16.90;16;0;0;83.00;0
25;0;285461239;25;1;41;41;9.96;0.37;45.44;16.90;16;0;0;84.00;0
25;0;285461271;25;1;41;41;10.48;0.39;45.44;16.90;16;0;0;85.00;0
26;0;285461302;26;1;41;41;10.00;0.38;45.88;16.90;15;0;0;86.00;0
26;0;285461333;26;0;41;41;10.59;0.40;45.88;16.90;15;0;0;87.00;0
26;0;285461364;26;1;42;42;10.15;0.38;45.88;16.52;16;0;0;88.00;0
27;0;285461395;27;0;42;42;11.04;0.42;47.00;16.52;15;0;0;89.00;0
28;0;285461426;28;0;42;42;11.27;0.42;47.21;16.52;14;0;0;90.00;0
28;0;285461457;28;0;42;42;11.88;0.44;47.21;16.52;14;0;0;91.00;0
30;0;285461489;30;0;42;42;12.65;0.47;48.13;16.52;12;0;0;92.00;0
30;0;285461519;30;0;42;42;13.09;0.49;48.13;16.52;12;0;0;93.00;0
32;0;285461551;32;0;42;42;13.62;0.51;47.91;16.52;10;0;0;94.00;0
33;0;285461583;33;1;42;42;14.83;0.55;48.61;16.52;9;0;0;95.00;0
33;0;285461614;33;0;42;42;15.80;0.59;48.61;16.52;9;0;0;96.00;0
34;0;285461645;34;0;42;42;16.28;0.60;48.74;16.52;8;0;0;97.00;0
35;0;285461677;35;0;42;42;15.73;0.58;49.09;16.52;7;0;0;98.00;0
35;0;285461708;35;0;42;42;16.64;0.62;49.09;16.52;7;0;0;99.00;0
35;0;285461738;35;0;42;42;17.63;0.66;49.09;16.52;7;0;0;100.00;0
35;0;285461770;35;0;42;42;17.70;0.65;49.09;16.52;7;0;0;101.00;0
35;0;285461801;35;0;42;42;17.48;0.64;49.09;16.52;7;0;0;102.00;0
35;0;285461833;35;1;43;44;15.48;0.56;49.09;16.16;8;0;0;103.00;1
35;0;285461865;35;1;43;44;15.91;0.57;49.09;16.16;8;0;0;104.00;1
35;0;285461896;35;1;43;44;16.63;0.60;49.09;16.16;8;0;0;105.00;1
35;0;285461927;35;3;45;45;13.88;0.50;49.09;15.56;10;0;0;106.00;0
36;0;285461958;36;1;45;45;13.39;0.49;48.97;15.56;9;0;0;107.00;0
37;0;285461990;37;1;45;45;12.35;0.45;49.73;15.56;8;0;0;108.00;0
37;0;285462020;37;1;45;45;12.90;0.47;49.73;15.56;8;0;0;109.00;0
38;0;285462052;38;0;45;45;10.90;0.40;50.21;15.56;7;0;0;110.00;0
38;0;285462084;38;0;45;45;11.74;0.44;50.21;15.56;7;0;0;111.00;0
38;0;285462115;38;0;45;45;12.67;0.47;50.21;15.56;7;0;0;112.00;0
38;0;285462145;38;0;45;45;13.27;0.50;50.21;15.56;7;0;0;113.00;0
38;0;285462176;38;0;45;45;13.98;0.53;50.21;15.56;7;0;0;114.00;0
38;0;285462207;38;0;45;45;14.81;0.55;50.21;15.56;7;0;0;115.00;0
39;0;285462238;39;0;45;45;13.19;0.50;50.54;15.56;6;0;0;116.00;0
39;0;285462270;39;0;45;45;14.08;0.53;50.54;15.56;6;0;0;117.00;0
40;0;285462301;40;0;45;45;14.74;0.56;51.23;15.56;5;0;0;118.00;0
40;0;285462333;40;0;45;45;15.70;0.60;51.23;15.56;5;0;0;119.00;0
40;0;285462364;40;2;47;47;11.83;0.45;51.23;14.89;7;0;0;120.00;0
40;0;285462394;40;0;47;47;12.81;0.49;51.23;14.89;7;0;0;121.00;0
41;0;285462426;41;0;47;47;13.08;0.51;50.80;14.89;6;0;0;122.00;0
41;0;285462457;41;1;48;48;11.88;0.46;50.80;14.60;7;0;0;123.00;0
41;0;285462487;41;0;48;48;12.47;0.48;50.80;14.60;7;0;0;124.00;0
41;0;285462519;41;0;48;48;12.48;0.47;50.80;14.60;7;0;0;125.00;0
42;0;285462551;42;0;48;48;9.64;0.37;50.64;14.60;6;0;0;126.00;0
42;0;285462583;42;0;48;48;9.49;0.35;50.64;14.60;6;0;0;127.00;0
42;0;285462615;42;0;48;48;9.56;0.35;50.64;14.60;6;0;0;128.00;0
42;0;285462647;42;1;49;49;8.28;0.31;50.64;14.33;7;0;0;129.00;0
42;0;285462677;42;0;49;49;8.48;0.31;50.64;14.33;7;0;0;130.00;0
43;0;285462708;43;0;49;49;7.88;0.30;50.12;14.33;6;0;0;131.00;0
44;0;285462739;44;1;49;49;6.71;0.26;49.57;14.33;5;0;0;132.00;0
44;0;285462769;44;0;49;49;7.69;0.29;49.57;14.33;5;0;0;133.00;0
44;0;285462801;44;1;50;50;7.34;0.28;49.57;14.06;6;0;0;134.00;0
44;0;285462832;44;0;50;50;8.47;0.32;49.57;14.06;6;0;0;135.00;0
44;0;285462863;44;0;50;50;9.44;0.36;49.57;14.06;6;0;0;136.00;0
