step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_stopped;step_teleports;step_time;step_waiting
18;0;285376491;18;4;40;40;7.30;0.28;43.33;17.32;22;0;0;69.00;0
20;0;285376522;20;4;40;40;7.25;0.27;43.75;17.32;20;0;0;70.00;0
20;0;285376554;20;4;40;40;7.57;0.28;43.75;17.32;20;0;0;71.00;0
20;0;285376585;20;4;40;40;7.90;0.30;43.75;17.32;20;0;0;72.00;0
20;0;285376616;20;4;40;40;8.27;0.31;43.75;17.32;20;0;0;73.00;0
20;0;285376648;20;4;40;40;8.61;0.32;43.75;17.32;20;0;0;74.00;0
22;0;285376680;22;4;40;40;8.75;0.32;44.32;17.32;18;0;0;75.00;0
22;0;285376707;22;4;40;40;9.28;0.34;44.32;17.32;18;0;0;76.00;0
22;0;285376738;22;4;40;40;9.69;0.36;44.32;17.32;18;0;0;77.00;0
22;0;285376763;22;4;40;40;10.08;0.37;44.32;17.32;18;0;0;78.00;0
22;0;285376786;22;4;40;40;10.51;0.39;44.32;17.32;18;0;0;79.00;0
23;0;285376815;23;1;40;40;10.64;0.39;44.96;17.32;17;0;0;80.00;0
24;0;285376846;24;0;40;40;11.39;0.41;45.42;17.32;16;0;0;81.00;0
25;0;285376876;25;1;41;41;10.98;0.40;45.68;16.93;16;0;0;82.00;0
25;0;285376907;25;0;41;41;11.49;0.42;45.68;16.93;16;0;0;83.00;0
25;0;285376937;25;0;41;41;12.04;0.44;45.68;16.93;16;0;0;84.00;0
25;0;285376969;25;0;41;41;12.33;0.46;45.68;16.93;16;0;0;85.00;0
26;0;285377000;26;0;41;41;12.02;0.45;46.46;16.93;15;0;0;86.00;0
26;0;285377031;26;0;41;41;12.86;0.48;46.46;16.93;15;0;0;87.00;0
26;0;285377063;26;1;42;42;12.47;0.46;46.46;16.55;16;0;0;88.00;0
26;0;285377095;26;0;42;42;13.37;0.49;46.46;16.55;16;0;0;89.00;0
26;0;285377129;26;0;42;42;14.08;0.52;46.46;16.55;16;0;0;90.00;0
27;0;285377157;27;0;42;42;14.64;0.54;46.56;16.55;15;0;0;91.00;0
27;0;285377189;27;0;42;42;15.18;0.56;46.56;16.55;15;0;0;92.00;0
28;0;285377219;28;0;42;42;15.00;0.55;46.57;16.55;14;0;0;93.00;0
28;0;285377250;28;0;42;42;15.49;0.56;46.57;16.55;14;0;0;94.00;0
29;0;285377281;29;0;42;42;14.98;0.55;47.14;16.55;13;0;0;95.00;0
30;0;285377313;30;0;42;42;15.81;0.58;46.77;16.55;12;0;0;96.00;0
30;0;285377344;30;0;42;42;16.76;0.61;46.77;16.55;12;0;0;97.00;0
33;0;285377375;33;1;42;42;16.56;0.61;48.67;16.55;9;0;0;98.00;0
33;0;285377405;33;1;42;42;17.21;0.64;48.67;16.55;9;0;0;99.00;0
34;0;285377436;34;1;42;42;16.77;0.63;49.24;16.55;8;0;0;100.00;0
35;0;285377466;35;1;42;42;17.37;0.65;50.23;16.55;7;0;0;101.00;0
35;0;285377496;35;1;42;42;18.16;0.65;50.23;16.55;7;0;0;102.00;0
35;0;285377527;35;2;43;44;16.38;0.59;50.23;16.19;8;0;0;103.00;1
36;0;285377558;36;1;43;44;17.30;0.62;50.58;16.19;7;0;0;104.00;1
37;0;285377591;37;1;43;44;16.60;0.60;49.68;16.19;6;0;0;105.00;1
38;0;285377619;38;3;45;45;10.75;0.39;50.11;15.58;7;0;0;106.00;0
38;0;285377650;38;1;45;45;11.55;0.42;50.11;15.58;7;0;0;107.00;0
38;0;285377681;38;1;45;45;12.46;0.45;50.11;15.58;7;0;0;108.00;0
39;0;285377711;39;1;45;45;10.80;0.40;50.92;15.58;6;0;0;109.00;0
39;0;285377741;39;1;45;45;11.41;0.42;50.92;15.58;6;0;0;110.00;0
40;0;285377772;40;1;45;45;8.96;0.34;51.10;15.58;5;0;0;111.00;0
40;0;285377804;40;1;45;45;9.56;0.36;51.10;15.58;5;0;0;112.00;0
40;0;285377835;40;1;45;45;10.15;0.39;51.10;15.58;5;0;0;113.00;0
40;0;285377866;40;1;45;45;10.60;0.40;51.10;15.58;5;0;0;114.00;0
40;0;285377898;40;1;45;45;11.31;0.43;51.10;15.58;5;0;0;115.00;0
40;0;285377928;40;1;45;45;11.87;0.46;51.10;15.58;5;0;0;116.00;0
40;0;285377958;40;1;45;45;12.38;0.48;51.10;15.58;5;0;0;117.00;0
40;0;285377990;40;1;45;45;13.07;0.50;51.10;15.58;5;0;0;118.00;0
41;0;285378020;41;1;45;45;9.88;0.40;50.76;15.58;4;0;0;119.00;0
41;0;285378054;41;3;47;47;7.01;0.28;50.76;14.91;6;0;0;120.00;0
41;0;285378083;41;1;47;47;7.82;0.32;50.76;14.91;6;0;0;121.00;0
41;0;285378113;41;1;47;47;8.53;0.35;50.76;14.91;6;0;0;122.00;0
41;0;285378144;41;2;48;48;8.00;0.32;50.76;14.62;7;0;0;123.00;0
