bin,Step Time,Average Speed
"(0, 900]",450.5,10.55408888888889
"(900, 1800]",1350.5,10.606855555555555
"(1800, 2700]",2250.5,11.024666666666667
"(2700, 3600]",3150.5,10.687111111111111
"(3600, 4500]",4050.5,11.163822222222223
"(4500, 5400]",4950.5,11.1216
"(5400, 6300]",5850.5,10.928766666666666
"(6300, 7200]",6750.5,11.120011111111111
"(7200, 8100]",7650.5,10.146944444444445
"(8100, 9000]",8550.5,10.291755555555556
"(9000, 9900]",9450.5,10.225444444444443
"(9900, 10800]",10350.5,10.280666666666667
"(10800, 11700]",11250.5,9.845244444444443
"(11700, 12600]",12150.5,10.001055555555556
"(12600, 13500]",13050.5,9.907522222222223
"(13500, 14400]",13950.5,9.863477777777776
"(14400, 15300]",14850.5,9.738744444444446
"(15300, 16200]",15750.5,9.915133333333333
"(16200, 17100]",16650.5,10.003955555555555
"(17100, 18000]",17550.5,10.099455555555556
"(18000, 18900]",18450.5,10.086377777777777
"(18900, 19800]",19350.5,10.197
"(19800, 20700]",20250.5,10.431622222222222
"(20700, 21600]",21150.5,10.056833333333334
"(21600, 22500]",22050.5,9.815844444444444
"(22500, 23400]",22950.5,10.0396
"(23400, 24300]",23850.5,10.126777777777779
"(24300, 25200]",24750.5,10.18238888888889
"(25200, 26100]",25650.5,9.919955555555555
"(26100, 27000]",26550.5,10.066155555555557
"(27000, 27900]",27450.5,9.904200000000001
"(27900, 28800]",28350.5,9.9215
"(28800, 29700]",29250.5,9.283855555555554
"(29700, 30600]",30150.5,9.721844444444445
"(30600, 31500]",31050.5,9.611266666666666
"(31500, 32400]",31950.5,9.608911111111112
"(32400, 33300]",32850.5,9.658555555555557
"(33300, 34200]",33750.5,9.5877
"(34200, 35100]",34650.5,9.673166666666667
"(35100, 36000]",35550.5,9.555722222222222
"(36000, 36900]",36450.5,9.606466666666666
"(36900, 37800]",37350.5,9.558522222222223
"(37800, 38700]",38250.5,9.538333333333334
"(38700, 39600]",39150.5,9.646311111111112
"(39600, 40500]",40050.5,9.682477777777777
"(40500, 41400]",40950.5,9.9799
"(41400, 42300]",41850.5,10.094688888888887
"(42300, 43200]",42750.5,10.025666666666668
"(43200, 44100]",43650.5,9.6684
"(44100, 45000]",44550.5,9.498033333333332
"(45000, 45900]",45450.5,9.578566666666665
"(45900, 46800]",46350.5,9.472433333333333
"(46800, 47700]",47250.5,9.382555555555555
"(47700, 48600]",48150.5,9.369100000000001
"(48600, 49500]",49050.5,9.568077777777779
"(49500, 50400]",49950.5,9.596400000000001
"(50400, 51300]",50850.5,9.6749
"(51300, 52200]",51750.5,9.434133333333333
"(52200, 53100]",52650.5,9.491933333333334
"(53100, 54000]",53550.5,9.411333333333333
