bin,Step Time,Average Relative Speed
"(0, 300]",150.5,0.3685
"(300, 600]",450.5,0.4030333333333333
"(600, 900]",750.5,0.43060000000000004
"(900, 1200]",1050.5,0.39926666666666666
"(1200, 1500]",1350.5,0.4312
"(1500, 1800]",1650.5,0.43146666666666667
"(1800, 2100]",1950.5,0.40026666666666666
"(2100, 2400]",2250.5,0.4222666666666667
"(2400, 2700]",2550.5,0.3696
"(2700, 3000]",2850.5,0.38093333333333335
"(3000, 3300]",3150.5,0.3958666666666667
"(3300, 3600]",3450.5,0.36346666666666666
"(3600, 3900]",3750.5,0.3648
"(3900, 4200]",4050.5,0.3958666666666667
"(4200, 4500]",4350.5,0.39953333333333335
"(4500, 4800]",4650.5,0.3605333333333333
"(4800, 5100]",4950.5,0.3801333333333334
"(5100, 5400]",5250.5,0.37703333333333333
"(5400, 5700]",5550.5,0.40723333333333334
"(5700, 6000]",5850.5,0.38236666666666663
"(6000, 6300]",6150.5,0.39133333333333337
"(6300, 6600]",6450.5,0.3706333333333333
"(6600, 6900]",6750.5,0.40023333333333333
"(6900, 7200]",7050.5,0.39616666666666667
"(7200, 7500]",7350.5,0.3462
"(7500, 7800]",7650.5,0.3581333333333333
"(7800, 8100]",7950.5,0.35883333333333334
"(8100, 8400]",8250.5,0.37516666666666665
"(8400, 8700]",8550.5,0.35156666666666664
"(8700, 9000]",8850.5,0.37156666666666666
"(9000, 9300]",9150.5,0.35253333333333337
"(9300, 9600]",9450.5,0.36613333333333337
"(9600, 9900]",9750.5,0.3648666666666667
"(9900, 10200]",10050.5,0.3563
"(10200, 10500]",10350.5,0.36223333333333335
"(10500, 10800]",10650.5,0.36160000000000003
"(10800, 11100]",10950.5,0.3555666666666667
"(11100, 11400]",11250.5,0.3537
"(11400, 11700]",11550.5,0.3542666666666667
"(11700, 12000]",11850.5,0.35213333333333335
"(12000, 12300]",12150.5,0.34790000000000004
"(12300, 12600]",12450.5,0.36003333333333337
"(12600, 12900]",12750.5,0.3610333333333333
"(12900, 13200]",13050.5,0.3504333333333333
"(13200, 13500]",13350.5,0.3559
"(13500, 13800]",13650.5,0.3542
"(13800, 14100]",13950.5,0.36393333333333333
"(14100, 14400]",14250.5,0.36406666666666665
"(14400, 14700]",14550.5,0.3447
"(14700, 15000]",14850.5,0.361
"(15000, 15300]",15150.5,0.35636666666666666
"(15300, 15600]",15450.5,0.3566333333333333
"(15600, 15900]",15750.5,0.3456
"(15900, 16200]",16050.5,0.36060000000000003
"(16200, 16500]",16350.5,0.3496666666666667
"(16500, 16800]",16650.5,0.35673333333333335
"(16800, 17100]",16950.5,0.35186666666666666
"(17100, 17400]",17250.5,0.35036666666666666
"(17400, 17700]",17550.5,0.35366666666666663
"(17700, 18000]",17850.5,0.35766666666666663
"(18000, 18300]",18150.5,0.3545666666666667
"(18300, 18600]",18450.5,0.35633333333333334
"(18600, 18900]",18750.5,0.37706666666666666
"(18900, 19200]",19050.5,0.35006666666666664
"(19200, 19500]",19350.5,0.3623
"(19500, 19800]",19650.5,0.3524
"(19800, 20100]",19950.5,0.36546666666666666
"(20100, 20400]",20250.5,0.3555666666666667
"(20400, 20700]",20550.5,0.35963333333333336
"(20700, 21000]",20850.5,0.3491
"(21000, 21300]",21150.5,0.3546666666666667
"(21300, 21600]",21450.5,0.36496666666666666
"(21600, 21900]",21750.5,0.3473
"(21900, 22200]",22050.5,0.36613333333333337
"(22200, 22500]",22350.5,0.3530666666666667
"(22500, 22800]",22650.5,0.36756666666666665
"(22800, 23100]",22950.5,0.35513333333333336
"(23100, 23400]",23250.5,0.36256666666666665
"(23400, 23700]",23550.5,0.3558
"(23700, 24000]",23850.5,0.3718666666666667
