bin,Step Time,Number Waiting
"(0, 300]",150.5,2.2133333333333334
"(300, 600]",450.5,0.05
"(600, 900]",750.5,0.08
"(900, 1200]",1050.5,0.09
"(1200, 1500]",1350.5,0.16333333333333333
"(1500, 1800]",1650.5,0.08666666666666667
"(1800, 2100]",1950.5,0.3933333333333333
"(2100, 2400]",2250.5,0.08333333333333333
"(2400, 2700]",2550.5,0.16666666666666666
"(2700, 3000]",2850.5,0.10666666666666667
"(3000, 3300]",3150.5,0.05
"(3300, 3600]",3450.5,0.12
"(3600, 3900]",3750.5,1.9
"(3900, 4200]",4050.5,0.13
"(4200, 4500]",4350.5,0.07666666666666666
"(4500, 4800]",4650.5,0.25
"(4800, 5100]",4950.5,0.12
"(5100, 5400]",5250.5,0.15333333333333332
"(5400, 5700]",5550.5,0.48
"(5700, 6000]",5850.5,0.11666666666666667
"(6000, 6300]",6150.5,0.16
"(6300, 6600]",6450.5,0.20333333333333334
"(6600, 6900]",6750.5,0.10666666666666667
"(6900, 7200]",7050.5,0.16666666666666666
"(7200, 7500]",7350.5,3.47
"(7500, 7800]",7650.5,0.76
"(7800, 8100]",7950.5,0.74
"(8100, 8400]",8250.5,0.99
"(8400, 8700]",8550.5,1.0133333333333334
"(8700, 9000]",8850.5,0.79
"(9000, 9300]",9150.5,1.34
"(9300, 9600]",9450.5,0.7066666666666667
"(9600, 9900]",9750.5,1.0166666666666666
"(9900, 10200]",10050.5,1.0266666666666666
"(10200, 10500]",10350.5,0.7133333333333334
"(10500, 10800]",10650.5,0.6333333333333333
"(10800, 11100]",10950.5,4.703333333333333
"(11100, 11400]",11250.5,1.1466666666666667
"(11400, 11700]",11550.5,1.0866666666666667
"(11700, 12000]",11850.5,1.1866666666666668
"(12000, 12300]",12150.5,1.4433333333333334
"(12300, 12600]",12450.5,1.22
"(12600, 12900]",12750.5,1.6533333333333333
"(12900, 13200]",13050.5,1.4566666666666668
"(13200, 13500]",13350.5,1.37
"(13500, 13800]",13650.5,1.15
"(13800, 14100]",13950.5,1.1766666666666667
"(14100, 14400]",14250.5,1.0233333333333334
"(14400, 14700]",14550.5,5.383333333333334
"(14700, 15000]",14850.5,1.0733333333333333
"(15000, 15300]",15150.5,1.3
"(15300, 15600]",15450.5,1.1
"(15600, 15900]",15750.5,1.8066666666666666
"(15900, 16200]",16050.5,1.0233333333333334
"(16200, 16500]",16350.5,1.9633333333333334
"(16500, 16800]",16650.5,1.05
"(16800, 17100]",16950.5,1.6733333333333333
"(17100, 17400]",17250.5,1.0866666666666667
"(17400, 17700]",17550.5,1.27
"(17700, 18000]",17850.5,0.9933333333333333
"(18000, 18300]",18150.5,9.816666666666666
"(18300, 18600]",18450.5,1.1733333333333333
"(18600, 18900]",18750.5,1.1533333333333333
"(18900, 19200]",19050.5,1.3333333333333333
"(19200, 19500]",19350.5,1.61
"(19500, 19800]",19650.5,0.9633333333333334
"(19800, 20100]",19950.5,2.1233333333333335
"(20100, 20400]",20250.5,1.3633333333333333
"(20400, 20700]",20550.5,1.35
"(20700, 21000]",20850.5,1.33
"(21000, 21300]",21150.5,1.1266666666666667
"(21300, 21600]",21450.5,1.1066666666666667
"(21600, 21900]",21750.5,5.83
"(21900, 22200]",22050.5,1.1066666666666667
"(22200, 22500]",22350.5,1.0266666666666666
"(22500, 22800]",22650.5,1.1033333333333333
"(22800, 23100]",22950.5,1.4533333333333334
"(23100, 23400]",23250.5,0.88
"(23400, 23700]",23550.5,1.8533333333333333
"(23700, 24000]",23850.5,1.18
"(24000, 24300]",24150.5,1.3133333333333332
"(24300, 24600]",24450.5,0.98
"(24600, 24900]",24750.5,0.9866666666666667
"(24900, 25200]",25050.5,0.9533333333333334
"(25200, 25500]",25350.5,3.316666666666667
"(25500, 25800]",25650.5,0.56
"(25800, 26100]",25950.5,0.6133333333333333
"(26100, 26400]",26250.5,0.6
"(26400, 26700]",26550.5,0.85
"(26700, 27000]",26850.5,0.47
"(27000, 27300]",27150.5,0.9366666666666666
"(27300, 27600]",27450.5,0.7066666666666667
"(27600, 27900]",27750.5,0.71
"(27900, 28200]",28050.5,0.5866666666666667
"(28200, 28500]",28350.5,0.61
"(28500, 28800]",28650.5,0.62
"(28800, 29100]",28950.5,10.26
"(29100, 29400]",29250.5,4.783333333333333
"(29400, 29700]",29550.5,3.2733333333333334
"(29700, 30000]",29850.5,1.7266666666666666
"(30000, 30300]",30150.5,2.743333333333333
"(30300, 30600]",30450.5,1.77
"(30600, 30900]",30750.5,2.0366666666666666
"(30900, 31200]",31050.5,1.37
"(31200, 31500]",31350.5,2.8866666666666667
"(31500, 31800]",31650.5,1.6033333333333333
"(31800, 32100]",31950.5,1.7733333333333334
"(32100, 32400]",32250.5,1.3466666666666667
"(32400, 32700]",32550.5,7.613333333333333
"(32700, 33000]",32850.5,1.1733333333333333
"(33000, 33300]",33150.5,1.17
"(33300, 33600]",33450.5,2.2266666666666666
"(33600, 33900]",33750.5,1.3166666666666667
"(33900, 34200]",34050.5,1.22
"(34200, 34500]",34350.5,2.466666666666667
"(34500, 34800]",34650.5,1.2633333333333334
"(34800, 35100]",34950.5,1.53
"(35100, 35400]",35250.5,2.1266666666666665
"(35400, 35700]",35550.5,1.53
"(35700, 36000]",35850.5,1.3266666666666667
"(36000, 36300]",36150.5,10.423333333333334
"(36300, 36600]",36450.5,2.2666666666666666
"(36600, 36900]",36750.5,2.183333333333333
"(36900, 37200]",37050.5,1.9966666666666666
"(37200, 37500]",37350.5,2.64
"(37500, 37800]",37650.5,1.9033333333333333
"(37800, 38100]",37950.5,4.023333333333333
"(38100, 38400]",38250.5,1.74
"(38400, 38700]",38550.5,3.1633333333333336
"(38700, 39000]",38850.5,2.1066666666666665
"(39000, 39300]",39150.5,1.9966666666666666
"(39300, 39600]",39450.5,1.5133333333333334
"(39600, 39900]",39750.5,10.586666666666666
"(39900, 40200]",40050.5,8.173333333333334
"(40200, 40500]",40350.5,12.24
"(40500, 40800]",40650.5,13.963333333333333
"(40800, 41100]",40950.5,16.69333333333333
"(41100, 41400]",41250.5,18.773333333333333
"(41400, 41700]",41550.5,24.133333333333333
"(41700, 42000]",41850.5,25.3
"(42000, 42300]",42150.5,28.513333333333332
"(42300, 42600]",42450.5,30.536666666666665
"(42600, 42900]",42750.5,33.416666666666664
"(42900, 43200]",43050.5,35.03
"(43200, 43500]",43350.5,47.64666666666667
"(43500, 43800]",43650.5,57.806666666666665
"(43800, 44100]",43950.5,69.34666666666666
"(44100, 44400]",44250.5,81.31666666666666
"(44400, 44700]",44550.5,91.26333333333334
"(44700, 45000]",44850.5,101.17666666666666
"(45000, 45300]",45150.5,111.65
"(45300, 45600]",45450.5,122.19
"(45600, 45900]",45750.5,133.51333333333332
"(45900, 46200]",46050.5,146.71333333333334
"(46200, 46500]",46350.5,157.89666666666668
"(46500, 46800]",46650.5,168.72333333333333
"(46800, 47100]",46950.5,181.86
"(47100, 47400]",47250.5,182.70666666666668
"(47400, 47700]",47550.5,185.59333333333333
"(47700, 48000]",47850.5,193.87333333333333
"(48000, 48300]",48150.5,198.71333333333334
"(48300, 48600]",48450.5,204.9
"(48600, 48900]",48750.5,214.22
"(48900, 49200]",49050.5,219.22333333333333
"(49200, 49500]",49350.5,224.38333333333333
"(49500, 49800]",49650.5,230.92
"(49800, 50100]",49950.5,235.88333333333333
"(50100, 50400]",50250.5,241.64
"(50400, 50700]",50550.5,245.05333333333334
"(50700, 51000]",50850.5,227.14666666666668
"(51000, 51300]",51150.5,212.84666666666666
"(51300, 51600]",51450.5,199.28333333333333
"(51600, 51900]",51750.5,184.11333333333334
"(51900, 52200]",52050.5,168.81
"(52200, 52500]",52350.5,155.88666666666666
"(52500, 52800]",52650.5,139.84333333333333
"(52800, 53100]",52950.5,124.73333333333333
"(53100, 53400]",53250.5,110.6
"(53400, 53700]",53550.5,94.63
"(53700, 54000]",53850.5,79.64666666666666
"(54000, 54300]",54150.5,30.766666666666666
