bin,Step Time,Average Relative Speed
"(36600, 36900]",36750.5,0.3491333333333333
"(36900, 37200]",37050.5,0.3592333333333333
"(37200, 37500]",37350.5,0.35126666666666667
"(37500, 37800]",37650.5,0.351
"(37800, 38100]",37950.5,0.34423333333333334
"(38100, 38400]",38250.5,0.3505333333333333
"(38400, 38700]",38550.5,0.3591666666666667
"(38700, 39000]",38850.5,0.3607666666666667
"(39000, 39300]",39150.5,0.3573
"(39300, 39600]",39450.5,0.36743333333333333
"(39600, 39900]",39750.5,0.36116666666666664
"(39900, 40200]",40050.5,0.36693333333333333
"(40200, 40500]",40350.5,0.35396666666666665
"(40500, 40800]",40650.5,0.3698666666666666
"(40800, 41100]",40950.5,0.36036666666666667
"(41100, 41400]",41250.5,0.3535
"(41400, 41700]",41550.5,0.36623333333333336
"(41700, 42000]",41850.5,0.36
"(42000, 42300]",42150.5,0.3652
"(42300, 42600]",42450.5,0.3530333333333333
"(42600, 42900]",42750.5,0.3606666666666667
"(42900, 43200]",43050.5,0.3592
"(43200, 43500]",43350.5,0.3579
"(43500, 43800]",43650.5,0.35696666666666665
"(43800, 44100]",43950.5,0.3569
"(44100, 44400]",44250.5,0.3571666666666667
"(44400, 44700]",44550.5,0.3397666666666667
"(44700, 45000]",44850.5,0.36136666666666667
"(45000, 45300]",45150.5,0.3553
"(45300, 45600]",45450.5,0.35236666666666666
"(45600, 45900]",45750.5,0.35983333333333334
"(45900, 46200]",46050.5,0.3474
"(46200, 46500]",46350.5,0.35623333333333335
"(46500, 46800]",46650.5,0.3562666666666667
"(46800, 47100]",46950.5,0.34536666666666666
"(47100, 47400]",47250.5,0.3476
"(47400, 47700]",47550.5,0.3539
"(47700, 48000]",47850.5,0.3492
"(48000, 48300]",48150.5,0.3571
"(48300, 48600]",48450.5,0.35819999999999996
"(48600, 48900]",48750.5,0.3379666666666667
"(48900, 49200]",49050.5,0.35863333333333336
"(49200, 49500]",49350.5,0.3499333333333334
"(49500, 49800]",49650.5,0.3493
"(49800, 50100]",49950.5,0.3501666666666667
"(50100, 50400]",50250.5,0.3541333333333333
"(50400, 50700]",50550.5,0.3452
"(50700, 51000]",50850.5,0.3589333333333334
"(51000, 51300]",51150.5,0.36043333333333333
"(51300, 51600]",51450.5,0.34076666666666666
"(51600, 51900]",51750.5,0.3439
"(51900, 52200]",52050.5,0.35696666666666665
"(52200, 52500]",52350.5,0.34983333333333333
"(52500, 52800]",52650.5,0.35646666666666665
"(52800, 53100]",52950.5,0.356
"(53100, 53400]",53250.5,0.3439
"(53400, 53700]",53550.5,0.3585333333333333
"(53700, 54000]",53850.5,0.3492
