bin,Step Time,Average Flow
"(38400, 38700]",38550.5,41.57333333333333
"(38700, 39000]",38850.5,40.95
"(39000, 39300]",39150.5,41.833333333333336
"(39300, 39600]",39450.5,38.93333333333333
"(39600, 39900]",39750.5,43.22
"(39900, 40200]",40050.5,38.39666666666667
"(40200, 40500]",40350.5,37.87
"(40500, 40800]",40650.5,38.026666666666664
"(40800, 41100]",40950.5,38.096666666666664
"(41100, 41400]",41250.5,37.223333333333336
"(41400, 41700]",41550.5,38.403333333333336
"(41700, 42000]",41850.5,37.26
"(42000, 42300]",42150.5,37.28
"(42300, 42600]",42450.5,37.6
"(42600, 42900]",42750.5,37.16
"(42900, 43200]",43050.5,37.35666666666667
"(43200, 43500]",43350.5,39.31666666666667
"(43500, 43800]",43650.5,37.11666666666667
"(43800, 44100]",43950.5,36.87
"(44100, 44400]",44250.5,37.31333333333333
"(44400, 44700]",44550.5,39.04666666666667
"(44700, 45000]",44850.5,38.24666666666667
"(45000, 45300]",45150.5,38.36333333333334
"(45300, 45600]",45450.5,37.85666666666667
"(45600, 45900]",45750.5,38.20333333333333
"(45900, 46200]",46050.5,38.02333333333333
"(46200, 46500]",46350.5,39.12
"(46500, 46800]",46650.5,36.3
"(46800, 47100]",46950.5,38.35
"(47100, 47400]",47250.5,36.526666666666664
"(47400, 47700]",47550.5,37.28666666666667
"(47700, 48000]",47850.5,35.64
"(48000, 48300]",48150.5,36.913333333333334
"(48300, 48600]",48450.5,35.53666666666667
"(48600, 48900]",48750.5,36.016666666666666
"(48900, 49200]",49050.5,35.693333333333335
"(49200, 49500]",49350.5,35.126666666666665
"(49500, 49800]",49650.5,36.943333333333335
"(49800, 50100]",49950.5,35.4
"(50100, 50400]",50250.5,33.83
"(50400, 50700]",50550.5,30.223333333333333
"(50700, 51000]",50850.5,27.936666666666667
"(51000, 51300]",51150.5,27.04
"(51300, 51600]",51450.5,27.373333333333335
"(51600, 51900]",51750.5,29.67
"(51900, 52200]",52050.5,26.423333333333332
"(52200, 52500]",52350.5,27.456666666666667
"(52500, 52800]",52650.5,26.53
"(52800, 53100]",52950.5,29.983333333333334
"(53100, 53400]",53250.5,27.313333333333333
"(53400, 53700]",53550.5,27.19
"(53700, 54000]",53850.5,26.276666666666667
"(54000, 54300]",54150.5,10.143333333333333
