bin,Step Time,Number Waiting
"(0, 600]",300.5,1.13
"(600, 1200]",900.5,0.08166666666666667
"(1200, 1800]",1500.5,0.12666666666666668
"(1800, 2400]",2100.5,0.23666666666666666
"(2400, 3000]",2700.5,0.13666666666666666
"(3000, 3600]",3300.5,0.085
"(3600, 4200]",3900.5,1.02
"(4200, 4800]",4500.5,0.17333333333333334
"(4800, 5400]",5100.5,0.13
"(5400, 6000]",5700.5,0.2966666666666667
"(6000, 6600]",6300.5,0.19333333333333333
"(6600, 7200]",6900.5,0.14166666666666666
"(7200, 7800]",7500.5,2.2066666666666666
"(7800, 8400]",8100.5,0.84
"(8400, 9000]",8700.5,0.9133333333333333
"(9000, 9600]",9300.5,1.0016666666666667
"(9600, 10200]",9900.5,1.0216666666666667
"(10200, 10800]",10500.5,0.6816666666666666
"(10800, 11400]",11100.5,3.2383333333333333
"(11400, 12000]",11700.5,1.16
"(12000, 12600]",12300.5,1.3483333333333334
"(12600, 13200]",12900.5,1.5583333333333333
"(13200, 13800]",13500.5,1.2316666666666667
"(13800, 14400]",14100.5,1.0933333333333333
"(14400, 15000]",14700.5,3.3
"(15000, 15600]",15300.5,1.255
"(15600, 16200]",15900.5,1.3933333333333333
"(16200, 16800]",16500.5,1.4916666666666667
"(16800, 17400]",17100.5,1.2866666666666666
"(17400, 18000]",17700.5,1.1366666666666667
"(18000, 18600]",18300.5,5.1466666666666665
"(18600, 19200]",18900.5,1.3
"(19200, 19800]",19500.5,1.2966666666666666
"(19800, 20400]",20100.5,1.7183333333333333
"(20400, 21000]",20700.5,1.3033333333333332
"(21000, 21600]",21300.5,1.1166666666666667
"(21600, 22200]",21900.5,3.6966666666666668
"(22200, 22800]",22500.5,1.0733333333333333
"(22800, 23400]",23100.5,1.15
"(23400, 24000]",23700.5,1.58
"(24000, 24600]",24300.5,1.17
"(24600, 25200]",24900.5,0.9883333333333333
"(25200, 25800]",25500.5,2.0083333333333333
"(25800, 26400]",26100.5,0.615
"(26400, 27000]",26700.5,0.6816666666666666
"(27000, 27600]",27300.5,0.8
"(27600, 28200]",27900.5,0.69
"(28200, 28800]",28500.5,0.5916666666666667
"(28800, 29400]",29100.5,7.236666666666666
"(29400, 30000]",29700.5,2.0516666666666667
"(30000, 30600]",30300.5,1.99
"(30600, 31200]",30900.5,1.5866666666666667
"(31200, 31800]",31500.5,2.171666666666667
"(31800, 32400]",32100.5,1.5916666666666666
"(32400, 33000]",32700.5,4.32
"(33000, 33600]",33300.5,1.5133333333333334
"(33600, 34200]",33900.5,1.2533333333333334
"(34200, 34800]",34500.5,1.8316666666666668
"(34800, 35400]",35100.5,1.8416666666666666
"(35400, 36000]",35700.5,1.4916666666666667
"(36000, 36600]",36300.5,5.658333333333333
"(36600, 37200]",36900.5,2.0316666666666667
"(37200, 37800]",37500.5,2.18
"(37800, 38400]",38100.5,3.06
"(38400, 39000]",38700.5,2.486666666666667
"(39000, 39600]",39300.5,1.7966666666666666
"(39600, 40200]",39900.5,9.471666666666666
"(40200, 40800]",40500.5,12.128333333333334
"(40800, 41400]",41100.5,16.586666666666666
"(41400, 42000]",41700.5,20.626666666666665
"(42000, 42600]",42300.5,23.278333333333332
"(42600, 43200]",42900.5,26.6
"(43200, 43800]",43500.5,44.99166666666667
"(43800, 44400]",44100.5,65.39833333333333
"(44400, 45000]",44700.5,86.19666666666667
"(45000, 45600]",45300.5,108.35833333333333
"(45600, 46200]",45900.5,129.775
"(46200, 46800]",46500.5,149.285
"(46800, 47400]",47100.5,165.96833333333333
"(47400, 48000]",47700.5,177.05
"(48000, 48600]",48300.5,190.02
"(48600, 49200]",48900.5,206.76666666666668
"(49200, 49800]",49500.5,218.73166666666665
"(49800, 50400]",50100.5,227.52166666666668
"(50400, 51000]",50700.5,224.16666666666666
"(51000, 51600]",51300.5,194.515
"(51600, 52200]",51900.5,166.14166666666668
"(52200, 52800]",52500.5,135.25
"(52800, 53400]",53100.5,102.02333333333333
"(53400, 54000]",53700.5,71.13833333333334
