bin,Step Time,Average Flow
"(38400, 38700]",38550.5,43.82
"(38700, 39000]",38850.5,41.906666666666666
"(39000, 39300]",39150.5,42.09
"(39300, 39600]",39450.5,40.776666666666664
"(39600, 39900]",39750.5,43.126666666666665
"(39900, 40200]",40050.5,40.346666666666664
"(40200, 40500]",40350.5,39.19
"(40500, 40800]",40650.5,40.7
"(40800, 41100]",40950.5,39.553333333333335
"(41100, 41400]",41250.5,38.70666666666666
"(41400, 41700]",41550.5,41.71333333333333
"(41700, 42000]",41850.5,39.3
"(42000, 42300]",42150.5,40.18
"(42300, 42600]",42450.5,39.983333333333334
"(42600, 42900]",42750.5,39.45333333333333
"(42900, 43200]",43050.5,39.14
"(43200, 43500]",43350.5,41.68333333333333
"(43500, 43800]",43650.5,39.04
"(43800, 44100]",43950.5,39.33
"(44100, 44400]",44250.5,40.156666666666666
"(44400, 44700]",44550.5,39.87
"(44700, 45000]",44850.5,37.846666666666664
"(45000, 45300]",45150.5,40.21333333333333
"(45300, 45600]",45450.5,39.983333333333334
"(45600, 45900]",45750.5,40.35
"(45900, 46200]",46050.5,39.946666666666665
"(46200, 46500]",46350.5,39.723333333333336
"(46500, 46800]",46650.5,37.46666666666667
"(46800, 47100]",46950.5,39.46666666666667
"(47100, 47400]",47250.5,37.32333333333333
"(47400, 47700]",47550.5,36.72
"(47700, 48000]",47850.5,37.166666666666664
"(48000, 48300]",48150.5,36.303333333333335
"(48300, 48600]",48450.5,36.096666666666664
"(48600, 48900]",48750.5,37.63
"(48900, 49200]",49050.5,36.166666666666664
"(49200, 49500]",49350.5,36.88666666666666
"(49500, 49800]",49650.5,36.68666666666667
"(49800, 50100]",49950.5,37.02
"(50100, 50400]",50250.5,36.483333333333334
"(50400, 50700]",50550.5,32.25333333333333
"(50700, 51000]",50850.5,29.79
"(51000, 51300]",51150.5,28.476666666666667
"(51300, 51600]",51450.5,29.07
"(51600, 51900]",51750.5,29.066666666666666
"(51900, 52200]",52050.5,27.0
"(52200, 52500]",52350.5,29.706666666666667
"(52500, 52800]",52650.5,28.046666666666667
"(52800, 53100]",52950.5,31.033333333333335
"(53100, 53400]",53250.5,28.57
"(53400, 53700]",53550.5,29.316666666666666
"(53700, 54000]",53850.5,28.8
"(54000, 54300]",54150.5,13.03
