bin,Step Time,Average Speed
"(0, 300]",150.5,11.1128
"(300, 600]",450.5,11.501900000000001
"(600, 900]",750.5,13.209033333333334
"(900, 1200]",1050.5,12.169533333333334
"(1200, 1500]",1350.5,11.008333333333333
"(1500, 1800]",1650.5,11.639833333333332
"(1800, 2100]",1950.5,11.997166666666667
"(2100, 2400]",2250.5,11.813666666666666
"(2400, 2700]",2550.5,10.961066666666667
"(2700, 3000]",2850.5,12.917366666666666
"(3000, 3300]",3150.5,11.923433333333334
"(3300, 3600]",3450.5,12.370433333333335
"(3600, 3900]",3750.5,11.140633333333334
"(3900, 4200]",4050.5,11.776533333333333
"(4200, 4500]",4350.5,11.3062
"(4500, 4800]",4650.5,12.154333333333334
"(4800, 5100]",4950.5,11.185
"(5100, 5400]",5250.5,12.003333333333334
"(5400, 5700]",5550.5,10.8111
"(5700, 6000]",5850.5,11.756133333333334
"(6000, 6300]",6150.5,11.9665
"(6300, 6600]",6450.5,11.476933333333333
"(6600, 6900]",6750.5,11.1439
"(6900, 7200]",7050.5,11.581366666666666
"(7200, 7500]",7350.5,10.186733333333333
"(7500, 7800]",7650.5,10.358166666666666
"(7800, 8100]",7950.5,10.221866666666667
"(8100, 8400]",8250.5,10.2401
"(8400, 8700]",8550.5,10.280433333333333
"(8700, 9000]",8850.5,10.347633333333333
"(9000, 9300]",9150.5,10.436466666666666
"(9300, 9600]",9450.5,10.641733333333333
"(9600, 9900]",9750.5,10.5145
"(9900, 10200]",10050.5,10.415266666666666
"(10200, 10500]",10350.5,10.637466666666667
"(10500, 10800]",10650.5,10.2347
"(10800, 11100]",10950.5,9.961466666666666
"(11100, 11400]",11250.5,9.696166666666667
"(11400, 11700]",11550.5,9.748933333333333
"(11700, 12000]",11850.5,10.0657
"(12000, 12300]",12150.5,9.874933333333333
"(12300, 12600]",12450.5,9.973533333333334
"(12600, 12900]",12750.5,10.044433333333332
"(12900, 13200]",13050.5,9.8018
"(13200, 13500]",13350.5,10.203866666666666
"(13500, 13800]",13650.5,10.105500000000001
"(13800, 14100]",13950.5,9.863933333333334
"(14100, 14400]",14250.5,10.082133333333333
"(14400, 14700]",14550.5,9.934066666666666
"(14700, 15000]",14850.5,10.121133333333335
"(15000, 15300]",15150.5,9.9043
"(15300, 15600]",15450.5,10.150133333333333
"(15600, 15900]",15750.5,10.0915
"(15900, 16200]",16050.5,10.1008
"(16200, 16500]",16350.5,9.937733333333334
"(16500, 16800]",16650.5,10.181733333333334
"(16800, 17100]",16950.5,10.1032
