bin,Step Time,Average Waiting Time
"(0, 300]",150.5,12.999266666666667
"(300, 600]",450.5,7.968266666666667
"(600, 900]",750.5,5.669333333333333
"(900, 1200]",1050.5,4.564766666666667
"(1200, 1500]",1350.5,3.9658
"(1500, 1800]",1650.5,3.5048333333333335
"(1800, 2100]",1950.5,3.4198666666666666
"(2100, 2400]",2250.5,3.1529666666666665
"(2400, 2700]",2550.5,2.9963666666666664
"(2700, 3000]",2850.5,2.8304666666666667
"(3000, 3300]",3150.5,2.6844
"(3300, 3600]",3450.5,2.5534666666666666
"(3600, 3900]",3750.5,3.1245666666666665
"(3900, 4200]",4050.5,2.9619666666666666
"(4200, 4500]",4350.5,2.7751333333333332
"(4500, 4800]",4650.5,2.6690333333333336
"(4800, 5100]",4950.5,2.5475333333333334
"(5100, 5400]",5250.5,2.4356000000000004
"(5400, 5700]",5550.5,2.4296
"(5700, 6000]",5850.5,2.351033333333333
"(6000, 6300]",6150.5,2.2838666666666665
"(6300, 6600]",6450.5,2.246833333333333
"(6600, 6900]",6750.5,2.1807000000000003
"(6900, 7200]",7050.5,2.1217666666666664
"(7200, 7500]",7350.5,2.5478666666666667
"(7500, 7800]",7650.5,2.5692
"(7800, 8100]",7950.5,2.5469333333333335
"(8100, 8400]",8250.5,2.5390333333333333
"(8400, 8700]",8550.5,2.5426333333333333
"(8700, 9000]",8850.5,2.5321
"(9000, 9300]",9150.5,2.571966666666667
"(9300, 9600]",9450.5,2.5607
"(9600, 9900]",9750.5,2.5592333333333332
"(9900, 10200]",10050.5,2.563166666666667
"(10200, 10500]",10350.5,2.5556666666666663
"(10500, 10800]",10650.5,2.539433333333333
"(10800, 11100]",10950.5,2.7744666666666666
"(11100, 11400]",11250.5,2.7849666666666666
"(11400, 11700]",11550.5,2.7583333333333333
"(11700, 12000]",11850.5,2.7475
"(12000, 12300]",12150.5,2.7456666666666667
"(12300, 12600]",12450.5,2.7444
"(12600, 12900]",12750.5,2.7534666666666667
