bin,Step Time,Average Speed
"(37800, 38100]",37950.5,9.4363
"(38100, 38400]",38250.5,9.533433333333335
"(38400, 38700]",38550.5,9.645266666666666
"(38700, 39000]",38850.5,9.545399999999999
"(39000, 39300]",39150.5,9.543999999999999
"(39300, 39600]",39450.5,9.849533333333333
"(39600, 39900]",39750.5,9.324166666666667
"(39900, 40200]",40050.5,9.931133333333333
"(40200, 40500]",40350.5,9.792133333333332
"(40500, 40800]",40650.5,10.098933333333333
"(40800, 41100]",40950.5,9.765
"(41100, 41400]",41250.5,10.075766666666667
"(41400, 41700]",41550.5,9.961033333333333
"(41700, 42000]",41850.5,9.964366666666667
"(42000, 42300]",42150.5,10.358666666666666
"(42300, 42600]",42450.5,10.073133333333333
"(42600, 42900]",42750.5,9.981
"(42900, 43200]",43050.5,10.022866666666667
"(43200, 43500]",43350.5,9.519466666666666
"(43500, 43800]",43650.5,9.725133333333334
"(43800, 44100]",43950.5,9.7606
"(44100, 44400]",44250.5,9.7272
"(44400, 44700]",44550.5,9.3032
"(44700, 45000]",44850.5,9.463700000000001
"(45000, 45300]",45150.5,9.696166666666667
"(45300, 45600]",45450.5,9.380966666666666
"(45600, 45900]",45750.5,9.658566666666667
"(45900, 46200]",46050.5,9.5169
"(46200, 46500]",46350.5,9.2112
"(46500, 46800]",46650.5,9.689200000000001
"(46800, 47100]",46950.5,9.402766666666666
"(47100, 47400]",47250.5,9.372066666666667
"(47400, 47700]",47550.5,9.372833333333332
"(47700, 48000]",47850.5,9.498700000000001
"(48000, 48300]",48150.5,9.0963
"(48300, 48600]",48450.5,9.5123
"(48600, 48900]",48750.5,9.600666666666665
"(48900, 49200]",49050.5,9.5056
"(49200, 49500]",49350.5,9.597966666666666
"(49500, 49800]",49650.5,9.369966666666667
"(49800, 50100]",49950.5,9.516533333333333
"(50100, 50400]",50250.5,9.9027
"(50400, 50700]",50550.5,9.711133333333335
"(50700, 51000]",50850.5,9.520833333333334
"(51000, 51300]",51150.5,9.792733333333334
"(51300, 51600]",51450.5,9.491033333333332
"(51600, 51900]",51750.5,9.148299999999999
"(51900, 52200]",52050.5,9.663066666666667
"(52200, 52500]",52350.5,9.840333333333334
"(52500, 52800]",52650.5,9.386333333333333
"(52800, 53100]",52950.5,9.249133333333333
"(53100, 53400]",53250.5,9.433666666666666
"(53400, 53700]",53550.5,9.468033333333333
"(53700, 54000]",53850.5,9.3323
"(54000, 54300]",54150.5,10.9353
