bin,Step Time,Average Relative Speed
"(0, 600]",300.5,0.3857666666666667
"(600, 1200]",900.5,0.4149333333333333
"(1200, 1800]",1500.5,0.43133333333333335
"(1800, 2400]",2100.5,0.41126666666666667
"(2400, 3000]",2700.5,0.37526666666666664
"(3000, 3600]",3300.5,0.3796666666666667
"(3600, 4200]",3900.5,0.3803333333333333
"(4200, 4800]",4500.5,0.38003333333333333
"(4800, 5400]",5100.5,0.3785833333333333
"(5400, 6000]",5700.5,0.3948
"(6000, 6600]",6300.5,0.38098333333333334
"(6600, 7200]",6900.5,0.3982
"(7200, 7800]",7500.5,0.3521666666666667
"(7800, 8400]",8100.5,0.367
"(8400, 9000]",8700.5,0.36156666666666665
"(9000, 9600]",9300.5,0.35933333333333334
"(9600, 10200]",9900.5,0.3605833333333333
"(10200, 10800]",10500.5,0.36191666666666666
"(10800, 11400]",11100.5,0.35463333333333336
"(11400, 12000]",11700.5,0.35319999999999996
"(12000, 12600]",12300.5,0.35396666666666665
"(12600, 13200]",12900.5,0.35573333333333335
"(13200, 13800]",13500.5,0.35505
"(13800, 14400]",14100.5,0.364
"(14400, 15000]",14700.5,0.35285
"(15000, 15600]",15300.5,0.3565
"(15600, 16200]",15900.5,0.3531
"(16200, 16800]",16500.5,0.35319999999999996
"(16800, 17400]",17100.5,0.35111666666666663
"(17400, 18000]",17700.5,0.3556666666666667
"(18000, 18600]",18300.5,0.35545000000000004
"(18600, 19200]",18900.5,0.36356666666666665
"(19200, 19800]",19500.5,0.35735
"(19800, 20400]",20100.5,0.36051666666666665
"(20400, 21000]",20700.5,0.35436666666666666
"(21000, 21600]",21300.5,0.3598166666666667
"(21600, 22200]",21900.5,0.3567166666666667
"(22200, 22800]",22500.5,0.3603166666666667
"(22800, 23400]",23100.5,0.35885
"(23400, 24000]",23700.5,0.36383333333333334
"(24000, 24600]",24300.5,0.3645666666666667
"(24600, 25200]",24900.5,0.35815
"(25200, 25800]",25500.5,0.3615333333333333
"(25800, 26400]",26100.5,0.35896666666666666
"(26400, 27000]",26700.5,0.35963333333333336
"(27000, 27600]",27300.5,0.35223333333333334
"(27600, 28200]",27900.5,0.3432
"(28200, 28800]",28500.5,0.36073333333333335
"(28800, 29400]",29100.5,0.331
"(29400, 30000]",29700.5,0.3489
"(30000, 30600]",30300.5,0.34673333333333334
"(30600, 31200]",30900.5,0.3414
"(31200, 31800]",31500.5,0.34181666666666666
"(31800, 32400]",32100.5,0.34723333333333334
"(32400, 33000]",32700.5,0.33895000000000003
"(33000, 33600]",33300.5,0.3433333333333333
"(33600, 34200]",33900.5,0.3464
"(34200, 34800]",34500.5,0.33863333333333334
"(34800, 35400]",35100.5,0.34515
"(35400, 36000]",35700.5,0.34735
"(36000, 36600]",36300.5,0.3397
"(36600, 37200]",36900.5,0.34505
"(37200, 37800]",37500.5,0.34391666666666665
"(37800, 38400]",38100.5,0.34925
"(38400, 39000]",38700.5,0.34445
"(39000, 39600]",39300.5,0.34968333333333335
"(39600, 40200]",39900.5,0.34305
"(40200, 40800]",40500.5,0.34858333333333336
"(40800, 41400]",41100.5,0.35673333333333335
"(41400, 42000]",41700.5,0.3478
"(42000, 42600]",42300.5,0.3498
"(42600, 43200]",42900.5,0.35065
"(43200, 43800]",43500.5,0.3409
"(43800, 44400]",44100.5,0.33576666666666666
"(44400, 45000]",44700.5,0.34726666666666667
"(45000, 45600]",45300.5,0.33558333333333334
"(45600, 46200]",45900.5,0.33918333333333334
"(46200, 46800]",46500.5,0.3444333333333333
"(46800, 47400]",47100.5,0.3398
"(47400, 48000]",47700.5,0.34678333333333333
"(48000, 48600]",48300.5,0.34768333333333334
"(48600, 49200]",48900.5,0.34263333333333335
"(49200, 49800]",49500.5,0.34445
"(49800, 50400]",50100.5,0.34040000000000004
"(50400, 51000]",50700.5,0.34023333333333333
"(51000, 51600]",51300.5,0.34195
"(51600, 52200]",51900.5,0.3534
"(52200, 52800]",52500.5,0.33673333333333333
"(52800, 53400]",53100.5,0.33386666666666664
"(53400, 54000]",53700.5,0.33540000000000003
