bin,Step Time,Average Waiting Time
"(0, 900]",450.5,8.878955555555557
"(900, 1800]",1350.5,4.0118
"(1800, 2700]",2250.5,3.1897333333333338
"(2700, 3600]",3150.5,2.6894444444444443
"(3600, 4500]",4050.5,2.953888888888889
"(4500, 5400]",4950.5,2.5507222222222223
"(5400, 6300]",5850.5,2.354833333333333
"(6300, 7200]",6750.5,2.1831
"(7200, 8100]",7650.5,2.5546666666666664
"(8100, 9000]",8550.5,2.5379222222222224
"(9000, 9900]",9450.5,2.563966666666667
"(9900, 10800]",10350.5,2.5527555555555557
"(10800, 11700]",11250.5,2.772588888888889
"(11700, 12600]",12150.5,2.7458555555555555
"(12600, 13500]",13050.5,2.7581444444444445
"(13500, 14400]",13950.5,2.745544444444444
"(14400, 15300]",14850.5,2.8815333333333335
"(15300, 16200]",15750.5,2.8607
"(16200, 17100]",16650.5,2.8595555555555556
"(17100, 18000]",17550.5,2.8417444444444446
"(18000, 18900]",18450.5,3.053933333333333
"(18900, 19800]",19350.5,3.0507555555555554
"(19800, 20700]",20250.5,3.0437666666666665
"(20700, 21600]",21150.5,3.0171333333333332
"(21600, 22500]",22050.5,3.095188888888889
"(22500, 23400]",22950.5,3.068233333333333
"(23400, 24300]",23850.5,3.0526444444444447
"(24300, 25200]",24750.5,3.0256555555555558
"(25200, 26100]",25650.5,3.0420777777777777
"(26100, 27000]",26550.5,3.0105
"(27000, 27900]",27450.5,2.9850111111111115
"(27900, 28800]",28350.5,2.9567
"(28800, 29700]",29250.5,3.068077777777778
"(29700, 30600]",30150.5,3.0918666666666663
"(30600, 31500]",31050.5,3.0986666666666665
"(31500, 32400]",31950.5,3.1199888888888894
"(32400, 33300]",32850.5,3.192111111111111
"(33300, 34200]",33750.5,3.1876333333333333
"(34200, 35100]",34650.5,3.194266666666667
"(35100, 36000]",35550.5,3.199777777777778
"(36000, 36900]",36450.5,3.3010222222222225
"(36900, 37800]",37350.5,3.3261333333333334
"(37800, 38700]",38250.5,3.3662666666666667
"(38700, 39600]",39150.5,3.38
"(39600, 40500]",40050.5,3.5328666666666666
"(40500, 41400]",40950.5,3.947388888888889
"(41400, 42300]",41850.5,4.553488888888889
"(42300, 43200]",42750.5,5.3409
"(43200, 44100]",43650.5,6.383333333333334
"(44100, 45000]",44550.5,8.220744444444444
"(45000, 45900]",45450.5,10.963966666666666
"(45900, 46800]",46350.5,14.521144444444445
"(46800, 47700]",47250.5,18.792411111111107
"(47700, 48600]",48150.5,23.64787777777778
"(48600, 49500]",49050.5,28.865044444444447
"(49500, 50400]",49950.5,34.449955555555555
"(50400, 51300]",50850.5,40.446688888888886
"(51300, 52200]",51750.5,46.51956666666667
"(52200, 53100]",52650.5,51.43888888888889
"(53100, 54000]",53550.5,54.703288888888885
