bin,Step Time,Number Waiting
"(0, 900]",450.5,0.7855555555555556
"(900, 1800]",1350.5,0.11333333333333333
"(1800, 2700]",2250.5,0.21777777777777776
"(2700, 3600]",3150.5,0.09333333333333334
"(3600, 4500]",4050.5,0.7
"(4500, 5400]",4950.5,0.17222222222222222
"(5400, 6300]",5850.5,0.24888888888888888
"(6300, 7200]",6750.5,0.15666666666666668
"(7200, 8100]",7650.5,1.7333333333333334
"(8100, 9000]",8550.5,0.9033333333333333
"(9000, 9900]",9450.5,1.0077777777777779
"(9900, 10800]",10350.5,0.8311111111111111
"(10800, 11700]",11250.5,2.33
"(11700, 12600]",12150.5,1.3077777777777777
"(12600, 13500]",13050.5,1.5444444444444445
"(13500, 14400]",13950.5,1.1344444444444444
"(14400, 15300]",14850.5,2.4944444444444445
"(15300, 16200]",15750.5,1.2977777777777777
"(16200, 17100]",16650.5,1.5355555555555556
"(17100, 18000]",17550.5,1.1577777777777778
"(18000, 18900]",18450.5,4.011111111111111
"(18900, 19800]",19350.5,1.29
"(19800, 20700]",20250.5,1.5522222222222222
"(20700, 21600]",21150.5,1.1588888888888889
"(21600, 22500]",22050.5,2.71
"(22500, 23400]",22950.5,1.1066666666666667
"(23400, 24300]",23850.5,1.46
"(24300, 25200]",24750.5,0.9577777777777777
"(25200, 26100]",25650.5,1.5533333333333332
"(26100, 27000]",26550.5,0.6566666666666666
"(27000, 27900]",27450.5,0.7844444444444445
"(27900, 28800]",28350.5,0.6088888888888889
"(28800, 29700]",29250.5,4.4688888888888885
"(29700, 30600]",30150.5,1.6733333333333333
"(30600, 31500]",31050.5,2.243333333333333
"(31500, 32400]",31950.5,1.6644444444444444
"(32400, 33300]",32850.5,3.1633333333333336
"(33300, 34200]",33750.5,1.461111111111111
"(34200, 35100]",34650.5,1.8477777777777777
"(35100, 36000]",35550.5,1.751111111111111
"(36000, 36900]",36450.5,4.8566666666666665
"(36900, 37800]",37350.5,2.0477777777777777
"(37800, 38700]",38250.5,3.3544444444444443
"(38700, 39600]",39150.5,1.9766666666666666
"(39600, 40500]",40050.5,11.055555555555555
"(40500, 41400]",40950.5,17.00777777777778
"(41400, 42300]",41850.5,23.554444444444446
"(42300, 43200]",42750.5,28.602222222222224
"(43200, 44100]",43650.5,52.196666666666665
"(44100, 45000]",44550.5,86.96111111111111
"(45000, 45900]",45450.5,121.94888888888889
"(45900, 46800]",46350.5,153.61333333333334
"(46800, 47700]",47250.5,182.25222222222223
"(47700, 48600]",48150.5,200.54555555555555
"(48600, 49500]",49050.5,222.6811111111111
"(49500, 50400]",49950.5,242.25333333333333
"(50400, 51300]",50850.5,233.32888888888888
"(51300, 52200]",51750.5,189.47333333333333
"(52200, 53100]",52650.5,144.51555555555555
"(53100, 54000]",53550.5,96.97555555555556
