bin,Step Time,Average Speed
"(0, 900]",450.5,10.824144444444444
"(900, 1800]",1350.5,11.38658888888889
"(1800, 2700]",2250.5,10.757155555555556
"(2700, 3600]",3150.5,10.278077777777778
"(3600, 4500]",4050.5,10.489244444444443
"(4500, 5400]",4950.5,10.098733333333334
"(5400, 6300]",5850.5,10.672944444444443
"(6300, 7200]",6750.5,10.542355555555556
"(7200, 8100]",7650.5,9.605122222222223
"(8100, 9000]",8550.5,9.928
"(9000, 9900]",9450.5,9.794166666666667
"(9900, 10800]",10350.5,9.763844444444443
"(10800, 11700]",11250.5,9.607
"(11700, 12600]",12150.5,9.578677777777777
"(12600, 13500]",13050.5,9.643288888888888
"(13500, 14400]",13950.5,9.778055555555556
"(14400, 15300]",14850.5,9.610544444444445
"(15300, 16200]",15750.5,9.623877777777778
"(16200, 17100]",16650.5,9.584177777777779
"(17100, 18000]",17550.5,9.610266666666666
"(18000, 18900]",18450.5,9.829177777777778
"(18900, 19800]",19350.5,9.6244
"(19800, 20700]",20250.5,9.760966666666668
"(20700, 21600]",21150.5,9.665111111111111
"(21600, 22500]",22050.5,9.639933333333333
"(22500, 23400]",22950.5,9.802177777777777
"(23400, 24300]",23850.5,9.819211111111112
"(24300, 25200]",24750.5,9.817455555555554
"(25200, 26100]",25650.5,9.814155555555555
"(26100, 27000]",26550.5,9.570433333333332
"(27000, 27900]",27450.5,9.395533333333333
"(27900, 28800]",28350.5,9.545444444444444
"(28800, 29700]",29250.5,9.077666666666666
"(29700, 30600]",30150.5,9.358366666666667
"(30600, 31500]",31050.5,9.15701111111111
"(31500, 32400]",31950.5,9.358477777777777
"(32400, 33300]",32850.5,9.236588888888889
"(33300, 34200]",33750.5,9.2638
"(34200, 35100]",34650.5,9.177855555555555
"(35100, 36000]",35550.5,9.356166666666667
"(36000, 36900]",36450.5,9.217566666666666
"(36900, 37800]",37350.5,9.27931111111111
"(37800, 38700]",38250.5,9.328000000000001
"(38700, 39600]",39150.5,9.43538888888889
"(39600, 40500]",40050.5,9.343455555555556
"(40500, 41400]",40950.5,9.544666666666668
"(41400, 42300]",41850.5,9.388166666666667
"(42300, 43200]",42750.5,9.488955555555554
"(43200, 44100]",43650.5,9.174911111111111
"(44100, 45000]",44550.5,9.209522222222223
"(45000, 45900]",45450.5,9.096066666666667
"(45900, 46800]",46350.5,9.203044444444444
"(46800, 47700]",47250.5,9.239955555555554
"(47700, 48600]",48150.5,9.281588888888889
"(48600, 49500]",49050.5,9.184233333333333
"(49500, 50400]",49950.5,9.204277777777778
"(50400, 51300]",50850.5,9.143066666666668
"(51300, 52200]",51750.5,9.348633333333334
"(52200, 53100]",52650.5,9.002988888888888
"(53100, 54000]",53550.5,8.926633333333333
