bin,Step Time,Average Travel Time
"(0, 600]",300.5,46.44428333333333
"(600, 1200]",900.5,50.111599999999996
"(1200, 1800]",1500.5,50.04663333333333
"(1800, 2400]",2100.5,50.057750000000006
"(2400, 3000]",2700.5,50.65313333333334
"(3000, 3600]",3300.5,51.0477
"(3600, 4200]",3900.5,51.683883333333334
"(4200, 4800]",4500.5,52.2708
"(4800, 5400]",5100.5,52.90173333333333
"(5400, 6000]",5700.5,53.065783333333336
"(6000, 6600]",6300.5,53.270316666666666
"(6600, 7200]",6900.5,53.46511666666667
"(7200, 7800]",7500.5,53.8996
"(7800, 8400]",8100.5,54.70583333333333
"(8400, 9000]",8700.5,55.192249999999994
"(9000, 9600]",9300.5,55.59815
"(9600, 10200]",9900.5,55.9102
"(10200, 10800]",10500.5,56.178549999999994
"(10800, 11400]",11100.5,56.404466666666664
"(11400, 12000]",11700.5,56.669783333333335
"(12000, 12600]",12300.5,56.92588333333333
"(12600, 13200]",12900.5,57.05776666666667
"(13200, 13800]",13500.5,57.20658333333333
"(13800, 14400]",14100.5,57.29155
"(14400, 15000]",14700.5,57.4168
"(15000, 15600]",15300.5,57.56885
"(15600, 16200]",15900.5,57.764833333333335
"(16200, 16800]",16500.5,57.90639999999999
"(16800, 17400]",17100.5,58.06203333333333
"(17400, 18000]",17700.5,58.18321666666667
"(18000, 18600]",18300.5,58.254966666666675
"(18600, 19200]",18900.5,58.23218333333333
"(19200, 19800]",19500.5,58.238183333333325
"(19800, 20400]",20100.5,58.235416666666666
"(20400, 21000]",20700.5,58.23935
"(21000, 21600]",21300.5,58.27371666666667
"(21600, 22200]",21900.5,58.29156666666667
"(22200, 22800]",22500.5,58.264833333333335
"(22800, 23400]",23100.5,58.247466666666675
"(23400, 24000]",23700.5,58.23416666666667
"(24000, 24600]",24300.5,58.186299999999996
"(24600, 25200]",24900.5,58.16226666666667
"(25200, 25800]",25500.5,58.1225
"(25800, 26400]",26100.5,57.99143333333333
"(26400, 27000]",26700.5,57.887750000000004
"(27000, 27600]",27300.5,57.781016666666666
"(27600, 28200]",27900.5,57.71875
"(28200, 28800]",28500.5,57.64258333333334
"(28800, 29400]",29100.5,57.60906666666667
"(29400, 30000]",29700.5,57.585800000000006
"(30000, 30600]",30300.5,57.55066666666667
"(30600, 31200]",30900.5,57.51033333333333
"(31200, 31800]",31500.5,57.491049999999994
"(31800, 32400]",32100.5,57.46063333333333
"(32400, 33000]",32700.5,57.44726666666667
"(33000, 33600]",33300.5,57.439133333333324
"(33600, 34200]",33900.5,57.42916666666667
"(34200, 34800]",34500.5,57.41625
"(34800, 35400]",35100.5,57.4172
"(35400, 36000]",35700.5,57.398266666666665
"(36000, 36600]",36300.5,57.40018333333333
"(36600, 37200]",36900.5,57.38906666666667
"(37200, 37800]",37500.5,57.37481666666667
"(37800, 38400]",38100.5,57.360566666666664
"(38400, 39000]",38700.5,57.34348333333334
"(39000, 39600]",39300.5,57.32574999999999
"(39600, 40200]",39900.5,57.323683333333335
"(40200, 40800]",40500.5,57.32431666666666
"(40800, 41400]",41100.5,57.31311666666667
"(41400, 42000]",41700.5,57.304233333333336
"(42000, 42600]",42300.5,57.29818333333333
"(42600, 43200]",42900.5,57.285999999999994
"(43200, 43800]",43500.5,57.28110000000001
"(43800, 44400]",44100.5,57.27166666666667
"(44400, 45000]",44700.5,57.26441666666667
"(45000, 45600]",45300.5,57.24695
"(45600, 46200]",45900.5,57.244
"(46200, 46800]",46500.5,57.237750000000005
"(46800, 47400]",47100.5,57.213816666666666
"(47400, 48000]",47700.5,57.18058333333333
"(48000, 48600]",48300.5,57.14136666666666
"(48600, 49200]",48900.5,57.10468333333333
"(49200, 49800]",49500.5,57.068266666666666
"(49800, 50400]",50100.5,57.03631666666667
"(50400, 51000]",50700.5,57.00688333333333
"(51000, 51600]",51300.5,56.968016666666664
"(51600, 52200]",51900.5,56.911966666666665
"(52200, 52800]",52500.5,56.85056666666667
"(52800, 53400]",53100.5,56.80681666666666
"(53400, 54000]",53700.5,56.76653333333333
