bin,Step Time,Collisions
"(0, 300]",150.5,0.0
"(300, 600]",450.5,0.0
"(600, 900]",750.5,0.0
"(900, 1200]",1050.5,0.0
"(1200, 1500]",1350.5,0.0
"(1500, 1800]",1650.5,0.0
"(1800, 2100]",1950.5,0.0
"(2100, 2400]",2250.5,0.0
"(2400, 2700]",2550.5,0.0
"(2700, 3000]",2850.5,0.0
"(3000, 3300]",3150.5,0.0
"(3300, 3600]",3450.5,0.0
"(3600, 3900]",3750.5,0.0
"(3900, 4200]",4050.5,0.0
"(4200, 4500]",4350.5,0.0
"(4500, 4800]",4650.5,0.0
"(4800, 5100]",4950.5,0.0
"(5100, 5400]",5250.5,0.0
"(5400, 5700]",5550.5,0.0
"(5700, 6000]",5850.5,0.0
"(6000, 6300]",6150.5,0.0
"(6300, 6600]",6450.5,0.0
"(6600, 6900]",6750.5,0.0
"(6900, 7200]",7050.5,0.0
"(7200, 7500]",7350.5,0.0
"(7500, 7800]",7650.5,0.0
"(7800, 8100]",7950.5,0.0
"(8100, 8400]",8250.5,0.0
"(8400, 8700]",8550.5,0.0
"(8700, 9000]",8850.5,0.0
"(9000, 9300]",9150.5,0.0
"(9300, 9600]",9450.5,0.0
"(9600, 9900]",9750.5,0.0
"(9900, 10200]",10050.5,0.0
"(10200, 10500]",10350.5,0.0
"(10500, 10800]",10650.5,0.0
"(10800, 11100]",10950.5,0.0
"(11100, 11400]",11250.5,0.0
"(11400, 11700]",11550.5,0.0
"(11700, 12000]",11850.5,0.0
"(12000, 12300]",12150.5,0.0
"(12300, 12600]",12450.5,0.0
"(12600, 12900]",12750.5,0.0
"(12900, 13200]",13050.5,0.0
"(13200, 13500]",13350.5,0.0
"(13500, 13800]",13650.5,0.0
"(13800, 14100]",13950.5,0.0
"(14100, 14400]",14250.5,0.0
"(14400, 14700]",14550.5,0.0
"(14700, 15000]",14850.5,0.0
"(15000, 15300]",15150.5,0.0
"(15300, 15600]",15450.5,0.0
"(15600, 15900]",15750.5,0.0
"(15900, 16200]",16050.5,0.0
"(16200, 16500]",16350.5,0.0
"(16500, 16800]",16650.5,0.0
"(16800, 17100]",16950.5,0.0
"(17100, 17400]",17250.5,0.0
"(17400, 17700]",17550.5,0.0
"(17700, 18000]",17850.5,0.0
"(18000, 18300]",18150.5,0.0
"(18300, 18600]",18450.5,0.0
"(18600, 18900]",18750.5,0.0
"(18900, 19200]",19050.5,0.0
"(19200, 19500]",19350.5,0.0
"(19500, 19800]",19650.5,0.0
"(19800, 20100]",19950.5,0.0
"(20100, 20400]",20250.5,0.0
"(20400, 20700]",20550.5,0.0
"(20700, 21000]",20850.5,0.0
"(21000, 21300]",21150.5,0.0
"(21300, 21600]",21450.5,0.0
"(21600, 21900]",21750.5,0.0
"(21900, 22200]",22050.5,0.0
"(22200, 22500]",22350.5,0.0
"(22500, 22800]",22650.5,0.0
"(22800, 23100]",22950.5,0.0
"(23100, 23400]",23250.5,0.0
"(23400, 23700]",23550.5,0.0
"(23700, 24000]",23850.5,0.0
"(24000, 24300]",24150.5,0.0
"(24300, 24600]",24450.5,0.0
"(24600, 24900]",24750.5,0.0
"(24900, 25200]",25050.5,0.0
"(25200, 25500]",25350.5,0.0
"(25500, 25800]",25650.5,0.0
"(25800, 26100]",25950.5,0.0
"(26100, 26400]",26250.5,0.0
"(26400, 26700]",26550.5,0.0
"(26700, 27000]",26850.5,0.0
"(27000, 27300]",27150.5,0.0
"(27300, 27600]",27450.5,0.0
"(27600, 27900]",27750.5,0.0
"(27900, 28200]",28050.5,0.0
"(28200, 28500]",28350.5,0.0
"(28500, 28800]",28650.5,0.0
"(28800, 29100]",28950.5,0.0
"(29100, 29400]",29250.5,0.0
"(29400, 29700]",29550.5,0.0
"(29700, 30000]",29850.5,0.0
"(30000, 30300]",30150.5,0.0
"(30300, 30600]",30450.5,0.0
"(30600, 30900]",30750.5,0.0
"(30900, 31200]",31050.5,0.0
"(31200, 31500]",31350.5,0.0
"(31500, 31800]",31650.5,0.0
"(31800, 32100]",31950.5,0.0
"(32100, 32400]",32250.5,0.0
"(32400, 32700]",32550.5,0.0
"(32700, 33000]",32850.5,0.0
"(33000, 33300]",33150.5,0.0
"(33300, 33600]",33450.5,0.0
"(33600, 33900]",33750.5,0.0
"(33900, 34200]",34050.5,0.0
"(34200, 34500]",34350.5,0.0
"(34500, 34800]",34650.5,0.0
"(34800, 35100]",34950.5,0.0
"(35100, 35400]",35250.5,0.0
"(35400, 35700]",35550.5,0.0
"(35700, 36000]",35850.5,0.0
"(36000, 36300]",36150.5,0.0
"(36300, 36600]",36450.5,0.0
"(36600, 36900]",36750.5,0.0
"(36900, 37200]",37050.5,0.0
"(37200, 37500]",37350.5,0.0
"(37500, 37800]",37650.5,0.0
"(37800, 38100]",37950.5,0.0
"(38100, 38400]",38250.5,0.0
"(38400, 38700]",38550.5,0.0
"(38700, 39000]",38850.5,0.0
"(39000, 39300]",39150.5,0.0
"(39300, 39600]",39450.5,0.0
"(39600, 39900]",39750.5,0.0
"(39900, 40200]",40050.5,0.0
"(40200, 40500]",40350.5,0.0
"(40500, 40800]",40650.5,0.0
"(40800, 41100]",40950.5,0.0
"(41100, 41400]",41250.5,0.0
"(41400, 41700]",41550.5,0.0
"(41700, 42000]",41850.5,0.0
"(42000, 42300]",42150.5,0.0
"(42300, 42600]",42450.5,0.0
"(42600, 42900]",42750.5,0.0
"(42900, 43200]",43050.5,0.0
"(43200, 43500]",43350.5,0.0
"(43500, 43800]",43650.5,0.0
"(43800, 44100]",43950.5,0.0
"(44100, 44400]",44250.5,0.0
"(44400, 44700]",44550.5,0.0
"(44700, 45000]",44850.5,0.0
"(45000, 45300]",45150.5,0.0
"(45300, 45600]",45450.5,0.0
"(45600, 45900]",45750.5,0.0
"(45900, 46200]",46050.5,0.0
"(46200, 46500]",46350.5,0.0
"(46500, 46800]",46650.5,0.0
"(46800, 47100]",46950.5,0.0
"(47100, 47400]",47250.5,0.0
"(47400, 47700]",47550.5,0.0
"(47700, 48000]",47850.5,0.0
"(48000, 48300]",48150.5,0.0
"(48300, 48600]",48450.5,0.0
"(48600, 48900]",48750.5,0.0
"(48900, 49200]",49050.5,0.0
"(49200, 49500]",49350.5,0.0
"(49500, 49800]",49650.5,0.0
"(49800, 50100]",49950.5,0.0
"(50100, 50400]",50250.5,0.0
"(50400, 50700]",50550.5,0.0
"(50700, 51000]",50850.5,0.0
"(51000, 51300]",51150.5,0.0
"(51300, 51600]",51450.5,0.0
"(51600, 51900]",51750.5,0.0
"(51900, 52200]",52050.5,0.0
"(52200, 52500]",52350.5,0.0
"(52500, 52800]",52650.5,0.0
"(52800, 53100]",52950.5,0.0
"(53100, 53400]",53250.5,0.0
"(53400, 53700]",53550.5,0.0
"(53700, 54000]",53850.5,0.0
