bin,Step Time,Average Flow
"(0, 600]",300.5,9.753333333333334
"(600, 1200]",900.5,7.935
"(1200, 1800]",1500.5,7.695
"(1800, 2400]",2100.5,8.596666666666666
"(2400, 3000]",2700.5,8.681666666666667
"(3000, 3600]",3300.5,7.58
"(3600, 4200]",3900.5,16.89
"(4200, 4800]",4500.5,15.875
"(4800, 5400]",5100.5,15.693333333333333
"(5400, 6000]",5700.5,15.478333333333333
"(6000, 6600]",6300.5,15.993333333333334
"(6600, 7200]",6900.5,14.791666666666666
"(7200, 7800]",7500.5,34.32666666666667
"(7800, 8400]",8100.5,32.93
"(8400, 9000]",8700.5,33.263333333333335
"(9000, 9600]",9300.5,33.685
"(9600, 10200]",9900.5,33.376666666666665
"(10200, 10800]",10500.5,32.975
"(10800, 11400]",11100.5,44.391666666666666
"(11400, 12000]",11700.5,44.57
"(12000, 12600]",12300.5,44.263333333333335
"(12600, 13200]",12900.5,44.593333333333334
"(13200, 13800]",13500.5,44.675
"(13800, 14400]",14100.5,42.475
"(14400, 15000]",14700.5,46.401666666666664
"(15000, 15600]",15300.5,44.67333333333333
"(15600, 16200]",15900.5,45.615
"(16200, 16800]",16500.5,44.995
"(16800, 17400]",17100.5,45.60666666666667
"(17400, 18000]",17700.5,44.515
"(18000, 18600]",18300.5,44.06333333333333
"(18600, 19200]",18900.5,41.13666666666666
"(19200, 19800]",19500.5,41.70666666666666
"(19800, 20400]",20100.5,41.903333333333336
"(20400, 21000]",20700.5,42.248333333333335
"(21000, 21600]",21300.5,41.413333333333334
"(21600, 22200]",21900.5,44.04
"(22200, 22800]",22500.5,42.145
"(22800, 23400]",23100.5,41.9
"(23400, 24000]",23700.5,42.12
"(24000, 24600]",24300.5,41.843333333333334
"(24600, 25200]",24900.5,41.79833333333333
"(25200, 25800]",25500.5,32.035
"(25800, 26400]",26100.5,29.811666666666667
"(26400, 27000]",26700.5,30.116666666666667
"(27000, 27600]",27300.5,30.87
"(27600, 28200]",27900.5,31.601666666666667
"(28200, 28800]",28500.5,29.4
"(28800, 29400]",29100.5,42.64833333333333
"(29400, 30000]",29700.5,40.375
"(30000, 30600]",30300.5,40.65
"(30600, 31200]",30900.5,41.193333333333335
"(31200, 31800]",31500.5,41.18666666666667
"(31800, 32400]",32100.5,39.98166666666667
"(32400, 33000]",32700.5,42.42333333333333
"(33000, 33600]",33300.5,40.07333333333333
"(33600, 34200]",33900.5,40.00666666666667
"(34200, 34800]",34500.5,41.211666666666666
"(34800, 35400]",35100.5,40.303333333333335
"(35400, 36000]",35700.5,39.18833333333333
"(36000, 36600]",36300.5,44.20166666666667
"(36600, 37200]",36900.5,42.315
"(37200, 37800]",37500.5,42.36833333333333
"(37800, 38400]",38100.5,42.09
"(38400, 39000]",38700.5,42.86333333333334
"(39000, 39600]",39300.5,41.43333333333333
"(39600, 40200]",39900.5,41.736666666666665
"(40200, 40800]",40500.5,39.945
"(40800, 41400]",41100.5,39.13
"(41400, 42000]",41700.5,40.50666666666667
"(42000, 42600]",42300.5,40.08166666666666
"(42600, 43200]",42900.5,39.29666666666667
"(43200, 43800]",43500.5,40.361666666666665
"(43800, 44400]",44100.5,39.74333333333333
"(44400, 45000]",44700.5,38.858333333333334
"(45000, 45600]",45300.5,40.098333333333336
"(45600, 46200]",45900.5,40.14833333333333
"(46200, 46800]",46500.5,38.595
"(46800, 47400]",47100.5,38.395
"(47400, 48000]",47700.5,36.943333333333335
"(48000, 48600]",48300.5,36.2
"(48600, 49200]",48900.5,36.89833333333333
"(49200, 49800]",49500.5,36.78666666666667
"(49800, 50400]",50100.5,36.751666666666665
"(50400, 51000]",50700.5,31.02166666666667
"(51000, 51600]",51300.5,28.773333333333333
"(51600, 52200]",51900.5,28.033333333333335
"(52200, 52800]",52500.5,28.876666666666665
"(52800, 53400]",53100.5,29.801666666666666
"(53400, 54000]",53700.5,29.058333333333334
