bin,Step Time,Average Flow
"(0, 600]",300.5,9.313333333333333
"(600, 1200]",900.5,7.295
"(1200, 1800]",1500.5,7.645
"(1800, 2400]",2100.5,7.99
"(2400, 3000]",2700.5,7.4816666666666665
"(3000, 3600]",3300.5,6.855
"(3600, 4200]",3900.5,15.678333333333333
"(4200, 4800]",4500.5,14.16
"(4800, 5400]",5100.5,14.04
"(5400, 6000]",5700.5,14.888333333333334
"(6000, 6600]",6300.5,14.02
"(6600, 7200]",6900.5,14.051666666666666
"(7200, 7800]",7500.5,32.35
"(7800, 8400]",8100.5,31.941666666666666
"(8400, 9000]",8700.5,31.855
"(9000, 9600]",9300.5,31.565
"(9600, 10200]",9900.5,31.455
"(10200, 10800]",10500.5,31.206666666666667
"(10800, 11400]",11100.5,43.425
"(11400, 12000]",11700.5,43.3
"(12000, 12600]",12300.5,42.62
"(12600, 13200]",12900.5,43.18333333333333
"(13200, 13800]",13500.5,42.21666666666667
"(13800, 14400]",14100.5,42.321666666666665
"(14400, 15000]",14700.5,44.425
"(15000, 15600]",15300.5,42.795
"(15600, 16200]",15900.5,43.416666666666664
"(16200, 16800]",16500.5,43.41833333333334
"(16800, 17400]",17100.5,42.915
"(17400, 18000]",17700.5,42.99166666666667
"(18000, 18600]",18300.5,42.46333333333333
"(18600, 19200]",18900.5,40.373333333333335
"(19200, 19800]",19500.5,40.32333333333333
"(19800, 20400]",20100.5,39.83166666666666
"(20400, 21000]",20700.5,40.38666666666666
"(21000, 21600]",21300.5,40.05
"(21600, 22200]",21900.5,42.73
"(22200, 22800]",22500.5,40.843333333333334
"(22800, 23400]",23100.5,40.43833333333333
"(23400, 24000]",23700.5,42.00833333333333
"(24000, 24600]",24300.5,41.35666666666667
"(24600, 25200]",24900.5,39.885
"(25200, 25800]",25500.5,31.283333333333335
"(25800, 26400]",26100.5,29.083333333333332
"(26400, 27000]",26700.5,28.878333333333334
"(27000, 27600]",27300.5,29.076666666666668
"(27600, 28200]",27900.5,29.555
"(28200, 28800]",28500.5,28.083333333333332
"(28800, 29400]",29100.5,40.115
"(29400, 30000]",29700.5,40.82666666666667
"(30000, 30600]",30300.5,39.776666666666664
"(30600, 31200]",30900.5,40.153333333333336
"(31200, 31800]",31500.5,39.998333333333335
"(31800, 32400]",32100.5,38.89666666666667
"(32400, 33000]",32700.5,40.638333333333335
"(33000, 33600]",33300.5,38.52166666666667
"(33600, 34200]",33900.5,39.281666666666666
"(34200, 34800]",34500.5,38.905
"(34800, 35400]",35100.5,39.535
"(35400, 36000]",35700.5,38.57666666666667
"(36000, 36600]",36300.5,42.82666666666667
"(36600, 37200]",36900.5,41.13
"(37200, 37800]",37500.5,41.568333333333335
"(37800, 38400]",38100.5,42.638333333333335
"(38400, 39000]",38700.5,40.791666666666664
"(39000, 39600]",39300.5,40.05833333333333
"(39600, 40200]",39900.5,39.291666666666664
"(40200, 40800]",40500.5,38.583333333333336
"(40800, 41400]",41100.5,38.92666666666667
"(41400, 42000]",41700.5,38.70166666666667
"(42000, 42600]",42300.5,39.29333333333334
"(42600, 43200]",42900.5,38.12
"(43200, 43800]",43500.5,38.39
"(43800, 44400]",44100.5,37.745
"(44400, 45000]",44700.5,38.30166666666667
"(45000, 45600]",45300.5,38.17
"(45600, 46200]",45900.5,38.145
"(46200, 46800]",46500.5,37.70166666666667
"(46800, 47400]",47100.5,37.855
"(47400, 48000]",47700.5,35.803333333333335
"(48000, 48600]",48300.5,35.23
"(48600, 49200]",48900.5,36.63666666666666
"(49200, 49800]",49500.5,36.32833333333333
"(49800, 50400]",50100.5,35.58
"(50400, 51000]",50700.5,29.941666666666666
"(51000, 51600]",51300.5,27.773333333333333
"(51600, 52200]",51900.5,28.323333333333334
"(52200, 52800]",52500.5,27.736666666666668
"(52800, 53400]",53100.5,28.796666666666667
"(53400, 54000]",53700.5,26.79
