bin,Step Time,Average Relative Speed
"(0, 600]",300.5,0.37776666666666664
"(600, 1200]",900.5,0.42401666666666665
"(1200, 1800]",1500.5,0.37305000000000005
"(1800, 2400]",2100.5,0.40915
"(2400, 3000]",2700.5,0.4104833333333333
"(3000, 3600]",3300.5,0.38334999999999997
"(3600, 4200]",3900.5,0.41011666666666663
"(4200, 4800]",4500.5,0.4138
"(4800, 5400]",5100.5,0.4083333333333333
"(5400, 6000]",5700.5,0.39771666666666666
"(6000, 6600]",6300.5,0.4069333333333333
"(6600, 7200]",6900.5,0.41475
"(7200, 7800]",7500.5,0.37083333333333335
"(7800, 8400]",8100.5,0.38058333333333333
"(8400, 9000]",8700.5,0.37911666666666666
"(9000, 9600]",9300.5,0.3771666666666667
"(9600, 10200]",9900.5,0.37616666666666665
"(10200, 10800]",10500.5,0.3806333333333333
"(10800, 11400]",11100.5,0.36091666666666666
"(11400, 12000]",11700.5,0.3691833333333333
"(12000, 12600]",12300.5,0.36819999999999997
"(12600, 13200]",12900.5,0.36410000000000003
"(13200, 13800]",13500.5,0.36451666666666666
"(13800, 14400]",14100.5,0.36535
"(14400, 15000]",14700.5,0.36155000000000004
"(15000, 15600]",15300.5,0.36335
"(15600, 16200]",15900.5,0.36008333333333337
"(16200, 16800]",16500.5,0.37343333333333334
"(16800, 17400]",17100.5,0.364
"(17400, 18000]",17700.5,0.3728666666666667
"(18000, 18600]",18300.5,0.3670333333333333
"(18600, 19200]",18900.5,0.37871666666666665
"(19200, 19800]",19500.5,0.37643333333333334
"(19800, 20400]",20100.5,0.38608333333333333
"(20400, 21000]",20700.5,0.3746333333333333
"(21000, 21600]",21300.5,0.37293333333333334
"(21600, 22200]",21900.5,0.36315
"(22200, 22800]",22500.5,0.3629
"(22800, 23400]",23100.5,0.3728333333333333
"(23400, 24000]",23700.5,0.3751333333333334
"(24000, 24600]",24300.5,0.3671666666666667
"(24600, 25200]",24900.5,0.38130000000000003
"(25200, 25800]",25500.5,0.36915000000000003
"(25800, 26400]",26100.5,0.3754
"(26400, 27000]",26700.5,0.3695833333333333
"(27000, 27600]",27300.5,0.36616666666666664
"(27600, 28200]",27900.5,0.37223333333333336
"(28200, 28800]",28500.5,0.36688333333333334
"(28800, 29400]",29100.5,0.33998333333333336
"(29400, 30000]",29700.5,0.3609666666666667
"(30000, 30600]",30300.5,0.35673333333333335
"(30600, 31200]",30900.5,0.36015
"(31200, 31800]",31500.5,0.35258333333333336
"(31800, 32400]",32100.5,0.35678333333333334
"(32400, 33000]",32700.5,0.34959999999999997
"(33000, 33600]",33300.5,0.36
"(33600, 34200]",33900.5,0.36013333333333336
"(34200, 34800]",34500.5,0.35905000000000004
"(34800, 35400]",35100.5,0.35105
"(35400, 36000]",35700.5,0.3595166666666667
"(36000, 36600]",36300.5,0.35333333333333333
"(36600, 37200]",36900.5,0.3567166666666667
"(37200, 37800]",37500.5,0.3556
"(37800, 38400]",38100.5,0.3516333333333333
"(38400, 39000]",38700.5,0.3559333333333333
"(39000, 39600]",39300.5,0.3593166666666667
"(39600, 40200]",39900.5,0.35633333333333334
"(40200, 40800]",40500.5,0.36801666666666666
"(40800, 41400]",41100.5,0.3671166666666667
"(41400, 42000]",41700.5,0.36846666666666666
"(42000, 42600]",42300.5,0.3778166666666667
"(42600, 43200]",42900.5,0.36974999999999997
"(43200, 43800]",43500.5,0.3573
"(43800, 44400]",44100.5,0.36183333333333334
"(44400, 45000]",44700.5,0.34825
"(45000, 45600]",45300.5,0.3542666666666667
"(45600, 46200]",45900.5,0.35568333333333335
"(46200, 46800]",46500.5,0.35065
"(46800, 47400]",47100.5,0.34928333333333333
"(47400, 48000]",47700.5,0.35123333333333334
"(48000, 48600]",48300.5,0.3468333333333333
"(48600, 49200]",48900.5,0.3558
"(49200, 49800]",49500.5,0.35305000000000003
"(49800, 50400]",50100.5,0.3617
"(50400, 51000]",50700.5,0.3584833333333333
"(51000, 51600]",51300.5,0.36043333333333333
"(51600, 52200]",51900.5,0.3518
"(52200, 52800]",52500.5,0.35955
"(52800, 53400]",53100.5,0.3494333333333333
"(53400, 54000]",53700.5,0.3518833333333333
